market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
"MEMSJC",1,0,0,0,0,0,1.784,1.878844,.2963765,2.45,3.875586,2.254445,0,0,.5369843,.4519914,.3433499,.5033784,.131579,.2432432,.0452729,.0452729,.0172675,.0071261,.0071157,.0071261
"MEMSLC",1,1,0,1,0,0,1.261,1.33018,.6573585,5.45,2.942243,1.094671,0,0,.3843262,.6829092,.3042944,.4793956,.131579,.2197802,.1235814,.1235814,0,.317758,0,.0375373
"MEMSMF",1,0,1,1,0,0,1.76,1.846145,.6573585,5.65,3.029826,1.507301,0,0,.4018492,.4790185,.3771337,.5439189,.131579,.2635135,.0554522,.0554522,.009127,.0273894,.009127,.0273894
"MEMSNA",1,0,0,0,0,0,1.592,1.721946,.3074962,5,3.09684,3.907785,0,0,.4923384,.4218854,.3371919,.4762658,.131579,.056962,.0250195,.0250195,.0765186,.0032112,.0250195,.0032112
"MEMSRQ",0,0,0,0,0,0,.686,1.08708,.3634057,5.9,3.339095,.8584543,0,0,.131579,.7450658,.0460526,.3958333,.131579,0,1.003262,.1318251,1.248375,.5439379,.0142798,.8532612
"MEMSTL",1,0,0,1,0,0,.256,.2827709,.6573585,3.5,3.066095,1.81908,0,0,.4691858,.4045209,.1614372,.5288461,.131579,.2051282,1.925321,1.767856,1.925321,3.099056,1.455891,1.455891
"MEMTPA",0,1,0,1,1,0,.656,1.054301,.1023103,4.65,2.956593,1.724334,0,0,.3363034,.6424575,.1562888,.5482284,.2221301,.1574803,1.069578,.1250878,1.292969,.5541974,0,.9260414
"MEMTRI",0,0,0,0,0,0,.437,.700494,.6573585,4.7,2.602978,.4706422,0,0,.131579,.7263157,.0960526,.375,.131579,0,1.222922,.2760271,1.222922,.4419391,.2760271,1.162885
"MEMTUS",0,0,0,0,0,0,1.224,1.388108,.6573585,4.75,2.730866,1.023705,0,0,.4359268,.4574752,.1837338,.4039855,.131579,.1304348,.0140526,.0140526,.2322035,.1192722,.0140526,.1192722
"MEMTYS",0,1,0,1,0,0,.342,.6301293,.6573585,4.3,2.860709,.8719482,0,0,.15722,.7506747,.0845142,.4391026,.131579,0,1.824241,.4121019,1.824241,1.009096,.4121019,1.747059
"MFEMIA",1,0,0,1,0,0,1.116,1.955564,.2116254,6.75,2.320366,1.739383,0,0,.5493533,.3185841,.1106195,.6327434,.0884956,0,.423705,.4055178,1.183643,.1458925,0,.1229399
"MFEMSY",0,0,0,1,0,0,.554,1.452284,.3656414,7.9,2.126234,.8807918,0,0,.4481605,.3521739,.1,.7130435,.0826087,.2043478,.6547602,.6547602,2.745519,.1207166,.0865888,.0865888
"MFEORD",1,0,0,1,0,0,1.238,1.238561,.1550676,5.35,2.476973,2.332539,0,0,.5771745,.2352941,.3104575,.5816994,.0163399,0,.0003617,.0265601,.0003617,.0033308,.005851,.005851
"MFESAN",0,0,0,1,0,0,1.226,2.405813,.3656414,6.9,2.415768,1.300166,0,0,.5406866,.2809917,.2272727,.6487603,.053719,.1942149,.3349556,.3349556,.5219607,.0336239,.1623601,.0336239
"MFESAT",0,0,0,1,0,0,.232,1.615505,.3656414,5.9,2.071316,1.016067,0,0,.5625449,.3364486,.1121495,.7803738,.0093458,.2056075,2.08829,2.08829,6.796799,1.184154,1.119104,1.119104
"MFESFO",0,0,0,0,0,0,1.616,2.598464,.1120481,4.4,3.105247,1.571698,0,0,.5164835,.2689076,.3277311,.6218488,.0546218,0,.1940036,.1940036,.2244841,0,0,0
"MFESTL",1,0,0,1,0,0,.98,.9815422,.3656414,5.45,2.295755,1.268181,0,0,.5683761,.1282051,.1153846,.5555556,.0042735,.2051282,.0404771,.0404771,.5266397,.0047672,.0081551,.0081551
"MFETPA",0,0,0,1,0,0,.975,1.753072,.1023103,6.6,2.186254,1.202128,0,0,.4354936,.3661417,.1102362,.6653543,.0905512,.1574803,.4322028,.4151078,1.309141,.1301416,0,.1066786
"MFETUL",0,0,0,1,0,0,.704,1.187706,.3656414,9.05,2.287756,.7165583,0,0,.6550117,.1893939,.0984849,.6136364,0,.280303,.0036987,.0036987,1.207703,.0608436,.0036987,.0706059
"MIAMKE",1,1,1,1,0,0,1.259,1.441689,.2116254,4,3.292191,2.775615,0,0,.5408063,.4914236,.283459,.5021851,.154321,0,.0052604,.0050675,.0052604,.0346715,.0008888,.003898
